carriers,locs,techs,timesteps,capacity_factor
power,region1,ac_transmission:region2,2005-01-01 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 23:00:00,0.0
power,region1,ccgt,2005-01-01 00:00:00,0.89025415877581
power,region1,ccgt,2005-01-01 01:00:00,0.8964890980392167
power,region1,ccgt,2005-01-01 02:00:00,0.87298908235294
power,region1,ccgt,2005-01-01 03:00:00,0.85434243137255
power,region1,ccgt,2005-01-01 04:00:00,0.8558349803921567
power,region1,ccgt,2005-01-01 05:00:00,0.87462431372549
power,region1,ccgt,2005-01-01 06:00:00,0.89894611764706
power,region1,ccgt,2005-01-01 07:00:00,0.8981956272700033
power,region1,ccgt,2005-01-01 08:00:00,0.6661056000000001
power,region1,ccgt,2005-01-01 09:00:00,0.6921141333333333
power,region1,ccgt,2005-01-01 10:00:00,0.69804611764706
power,region1,ccgt,2005-01-01 11:00:00,0.7077346980392166
power,region1,ccgt,2005-01-01 12:00:00,0.7109202980392166
power,region1,ccgt,2005-01-01 13:00:00,0.70621683137255
power,region1,ccgt,2005-01-01 14:00:00,0.7617821647058833
power,region1,ccgt,2005-01-01 15:00:00,0.8132248313725501
power,region1,ccgt,2005-01-01 16:00:00,0.8614530980392167
power,region1,ccgt,2005-01-01 17:00:00,0.8731917647058833
power,region1,ccgt,2005-01-01 18:00:00,0.8456754980392167
power,region1,ccgt,2005-01-01 19:00:00,0.8153309647058833
power,region1,ccgt,2005-01-01 20:00:00,0.7750479843137267
power,region1,ccgt,2005-01-01 21:00:00,0.7133888
power,region1,ccgt,2005-01-01 22:00:00,0.6551170666666666
power,region1,ccgt,2005-01-01 23:00:00,0.9354142095360567
power,region1,ccgt,2005-01-02 00:00:00,0.9207202980392166
power,region1,ccgt,2005-01-02 01:00:00,0.9124786980392167
power,region1,ccgt,2005-01-02 02:00:00,0.8898925490196067
power,region1,ccgt,2005-01-02 03:00:00,0.93574003137255
power,region1,ccgt,2005-01-02 04:00:00,0.97960671372549
power,region1,ccgt,2005-01-02 05:00:00,1.0
power,region1,ccgt,2005-01-02 06:00:00,1.0
power,region1,ccgt,2005-01-02 07:00:00,1.0
power,region1,ccgt,2005-01-02 08:00:00,0.9066589647058833
power,region1,ccgt,2005-01-02 09:00:00,0.9264322980392167
power,region1,ccgt,2005-01-02 10:00:00,0.9255325647058834
power,region1,ccgt,2005-01-02 11:00:00,0.91954003137255
power,region1,ccgt,2005-01-02 12:00:00,0.9010224470588233
power,region1,ccgt,2005-01-02 13:00:00,0.9252157647058833
power,region1,ccgt,2005-01-02 14:00:00,0.9568445647058834
power,region1,ccgt,2005-01-02 15:00:00,0.99998963137255
power,region1,ccgt,2005-01-02 16:00:00,1.0
power,region1,ccgt,2005-01-02 17:00:00,1.0
power,region1,ccgt,2005-01-02 18:00:00,0.9853624313725501
power,region1,ccgt,2005-01-02 19:00:00,0.9340573647058833
power,region1,ccgt,2005-01-02 20:00:00,0.8811890980392167
power,region1,ccgt,2005-01-02 21:00:00,0.9003171384187001
power,region1,ccgt,2005-01-02 22:00:00,1.0
power,region1,ccgt,2005-01-02 23:00:00,1.0
power,region1,ccgt,2005-01-03 00:00:00,0.9878626980392167
power,region1,ccgt,2005-01-03 01:00:00,0.9792861647058834
power,region1,ccgt,2005-01-03 02:00:00,0.9567661490196067
power,region1,ccgt,2005-01-03 03:00:00,0.9995352202487633
power,region1,ccgt,2005-01-03 04:00:00,1.0
power,region1,ccgt,2005-01-03 05:00:00,1.0
power,region1,ccgt,2005-01-03 06:00:00,1.0
power,region1,ccgt,2005-01-03 07:00:00,1.0
power,region1,ccgt,2005-01-03 08:00:00,0.99999999999997
power,region1,ccgt,2005-01-03 09:00:00,1.0
power,region1,ccgt,2005-01-03 10:00:00,1.0
power,region1,ccgt,2005-01-03 11:00:00,1.0
power,region1,ccgt,2005-01-03 12:00:00,1.0
power,region1,ccgt,2005-01-03 13:00:00,1.0
power,region1,ccgt,2005-01-03 14:00:00,1.0
power,region1,ccgt,2005-01-03 15:00:00,1.0
power,region1,ccgt,2005-01-03 16:00:00,1.0
power,region1,ccgt,2005-01-03 17:00:00,1.0
power,region1,ccgt,2005-01-03 18:00:00,1.0
power,region1,ccgt,2005-01-03 19:00:00,1.0
power,region1,ccgt,2005-01-03 20:00:00,1.0
power,region1,ccgt,2005-01-03 21:00:00,1.0
power,region1,ccgt,2005-01-03 22:00:00,1.0
power,region1,ccgt,2005-01-03 23:00:00,1.0
power,region1,ccgt,2005-01-04 00:00:00,1.0
power,region1,ccgt,2005-01-04 01:00:00,0.99907923137255
power,region1,ccgt,2005-01-04 02:00:00,1.0
power,region1,ccgt,2005-01-04 03:00:00,1.0
power,region1,ccgt,2005-01-04 04:00:00,1.0
power,region1,ccgt,2005-01-04 05:00:00,1.0
power,region1,ccgt,2005-01-04 06:00:00,1.0
power,region1,ccgt,2005-01-04 07:00:00,1.0
power,region1,ccgt,2005-01-04 08:00:00,1.0
power,region1,ccgt,2005-01-04 09:00:00,1.0
power,region1,ccgt,2005-01-04 10:00:00,1.0
power,region1,ccgt,2005-01-04 11:00:00,1.0
power,region1,ccgt,2005-01-04 12:00:00,1.0
power,region1,ccgt,2005-01-04 13:00:00,1.0
power,region1,ccgt,2005-01-04 14:00:00,1.0
power,region1,ccgt,2005-01-04 15:00:00,1.0
power,region1,ccgt,2005-01-04 16:00:00,1.0
power,region1,ccgt,2005-01-04 17:00:00,1.0
power,region1,ccgt,2005-01-04 18:00:00,1.0
power,region1,ccgt,2005-01-04 19:00:00,1.0
power,region1,ccgt,2005-01-04 20:00:00,1.0
power,region1,ccgt,2005-01-04 21:00:00,1.0
power,region1,ccgt,2005-01-04 22:00:00,1.0
power,region1,ccgt,2005-01-04 23:00:00,1.0
power,region1,ccgt,2005-01-05 00:00:00,1.0
power,region1,ccgt,2005-01-05 01:00:00,1.0
power,region1,ccgt,2005-01-05 02:00:00,1.0
power,region1,ccgt,2005-01-05 03:00:00,1.0
power,region1,ccgt,2005-01-05 04:00:00,1.0
power,region1,ccgt,2005-01-05 05:00:00,1.0
power,region1,ccgt,2005-01-05 06:00:00,1.0
power,region1,ccgt,2005-01-05 07:00:00,1.0
power,region1,ccgt,2005-01-05 08:00:00,1.0
power,region1,ccgt,2005-01-05 09:00:00,1.0
power,region1,ccgt,2005-01-05 10:00:00,1.0
power,region1,ccgt,2005-01-05 11:00:00,1.0
power,region1,ccgt,2005-01-05 12:00:00,1.0
power,region1,ccgt,2005-01-05 13:00:00,1.0
power,region1,ccgt,2005-01-05 14:00:00,1.0
power,region1,ccgt,2005-01-05 15:00:00,1.0
power,region1,ccgt,2005-01-05 16:00:00,1.0
power,region1,ccgt,2005-01-05 17:00:00,1.0
power,region1,ccgt,2005-01-05 18:00:00,1.0
power,region1,ccgt,2005-01-05 19:00:00,0.9853768313725499
power,region1,ccgt,2005-01-05 20:00:00,0.9236426509803933
power,region1,ccgt,2005-01-05 21:00:00,0.8411376
power,region1,ccgt,2005-01-05 22:00:00,0.7680834666666667
power,region1,ccgt,2005-01-05 23:00:00,0.72776748235294
power,region1,free_transmission:region1-1,2005-01-01 00:00:00,0.13652613741396555
power,region1,free_transmission:region1-1,2005-01-01 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 05:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 06:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 07:00:00,0.11157729472090668
power,region1,free_transmission:region1-1,2005-01-01 08:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 09:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 10:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 11:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 12:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 13:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 14:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 15:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 16:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 17:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 18:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 19:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 20:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 21:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 22:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-01 23:00:00,0.010533512833208244
power,region1,free_transmission:region1-1,2005-01-02 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 05:00:00,0.20544993464052222
power,region1,free_transmission:region1-1,2005-01-02 06:00:00,0.40733328104575106
power,region1,free_transmission:region1-1,2005-01-02 07:00:00,0.5435982745098034
power,region1,free_transmission:region1-1,2005-01-02 08:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 09:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 10:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 11:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 12:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 13:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 14:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 15:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 16:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 17:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 18:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 19:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 20:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-02 21:00:00,0.6964211987350578
power,region1,free_transmission:region1-1,2005-01-02 22:00:00,0.099275555555555
power,region1,free_transmission:region1-1,2005-01-02 23:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 04:00:00,0.17858237908496666
power,region1,free_transmission:region1-1,2005-01-03 05:00:00,0.49677615686274446
power,region1,free_transmission:region1-1,2005-01-03 06:00:00,0.7143839477124178
power,region1,free_transmission:region1-1,2005-01-03 07:00:00,0.8323787189542489
power,region1,free_transmission:region1-1,2005-01-03 08:00:00,0.9046080000001011
power,region1,free_transmission:region1-1,2005-01-03 09:00:00,0.937344
power,region1,free_transmission:region1-1,2005-01-03 10:00:00,0.9080790588235289
power,region1,free_transmission:region1-1,2005-01-03 11:00:00,0.8739528366013066
power,region1,free_transmission:region1-1,2005-01-03 12:00:00,0.8572552679738555
power,region1,free_transmission:region1-1,2005-01-03 13:00:00,0.8899174379084955
power,region1,free_transmission:region1-1,2005-01-03 14:00:00,0.9918133856209146
power,region1,free_transmission:region1-1,2005-01-03 15:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-03 16:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-03 17:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-03 18:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-03 19:00:00,0.89813788235294
power,region1,free_transmission:region1-1,2005-01-03 20:00:00,0.7015743267973855
power,region1,free_transmission:region1-1,2005-01-03 21:00:00,0.4517076601307189
power,region1,free_transmission:region1-1,2005-01-03 22:00:00,0.24467654901960778
power,region1,free_transmission:region1-1,2005-01-03 23:00:00,0.11021254901960778
power,region1,free_transmission:region1-1,2005-01-04 00:00:00,0.029487215686274448
power,region1,free_transmission:region1-1,2005-01-04 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 02:00:00,0.010600104575163454
power,region1,free_transmission:region1-1,2005-01-04 03:00:00,0.07147477124182999
power,region1,free_transmission:region1-1,2005-01-04 04:00:00,0.2866457640903078
power,region1,free_transmission:region1-1,2005-01-04 05:00:00,0.5654374901960778
power,region1,free_transmission:region1-1,2005-01-04 06:00:00,0.7863626143790844
power,region1,free_transmission:region1-1,2005-01-04 07:00:00,0.9011751633986934
power,region1,free_transmission:region1-1,2005-01-04 08:00:00,0.9696142222222223
power,region1,free_transmission:region1-1,2005-01-04 09:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 10:00:00,0.9838347695037389
power,region1,free_transmission:region1-1,2005-01-04 11:00:00,0.9484239477124178
power,region1,free_transmission:region1-1,2005-01-04 12:00:00,0.9338490457516333
power,region1,free_transmission:region1-1,2005-01-04 13:00:00,0.9542001045751634
power,region1,free_transmission:region1-1,2005-01-04 14:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 15:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 16:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 17:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 18:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-04 19:00:00,0.9549556601307189
power,region1,free_transmission:region1-1,2005-01-04 20:00:00,0.7638978823529411
power,region1,free_transmission:region1-1,2005-01-04 21:00:00,0.5039903267973855
power,region1,free_transmission:region1-1,2005-01-04 22:00:00,0.2882338823529411
power,region1,free_transmission:region1-1,2005-01-04 23:00:00,0.14606854901960778
power,region1,free_transmission:region1-1,2005-01-05 00:00:00,0.06713343790849655
power,region1,free_transmission:region1-1,2005-01-05 01:00:00,0.037353882352941334
power,region1,free_transmission:region1-1,2005-01-05 02:00:00,0.05069610457516344
power,region1,free_transmission:region1-1,2005-01-05 03:00:00,0.11597610457516334
power,region1,free_transmission:region1-1,2005-01-05 04:00:00,0.36728277124182995
power,region1,free_transmission:region1-1,2005-01-05 05:00:00,0.6900626125685712
power,region1,free_transmission:region1-1,2005-01-05 06:00:00,0.8472692810457522
power,region1,free_transmission:region1-1,2005-01-05 07:00:00,0.96213694117647
power,region1,free_transmission:region1-1,2005-01-05 08:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 09:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 10:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 11:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 12:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 13:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 14:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 15:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 16:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 17:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 18:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 19:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 20:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 21:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 22:00:00,1.0
power,region1,free_transmission:region1-1,2005-01-05 23:00:00,1.0
power,region1,free_transmission:region1-2,2005-01-01 00:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 01:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 02:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 03:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 04:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 05:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 06:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 07:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 08:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 09:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 10:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 11:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 12:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 13:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 14:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 15:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 16:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 17:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 18:00:00,0.0
