carriers,locs,techs,timesteps,carrier_con
power,region1,ac_transmission:region2,2005-01-01 00:00:00,-2651.88
power,region1,ac_transmission:region2,2005-01-01 01:00:00,-2507.23294117647
power,region1,ac_transmission:region2,2005-01-01 02:00:00,-2459.01647058823
power,region1,ac_transmission:region2,2005-01-01 03:00:00,-2507.23294117647
power,region1,ac_transmission:region2,2005-01-01 04:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-01 05:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-01 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-01 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-01 08:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-01 09:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-01 10:00:00,-2844.74352941176
power,region1,ac_transmission:region2,2005-01-01 11:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 12:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 13:00:00,-2748.31294117647
power,region1,ac_transmission:region2,2005-01-01 14:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 15:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 16:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 17:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 18:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 19:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-01 20:00:00,-3085.82352941176
power,region1,ac_transmission:region2,2005-01-01 21:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-01 22:00:00,-2651.88
power,region1,ac_transmission:region2,2005-01-01 23:00:00,-3106.55590158055
power,region1,ac_transmission:region2,2005-01-02 00:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 01:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 02:00:00,-2459.01647058823
power,region1,ac_transmission:region2,2005-01-02 03:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 04:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-02 05:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-02 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-02 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-02 08:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 09:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 10:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 11:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 12:00:00,-2796.52941176471
power,region1,ac_transmission:region2,2005-01-02 13:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 14:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 15:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 16:00:00,-2246.86588235294
power,region1,ac_transmission:region2,2005-01-02 17:00:00,-2198.64941176471
power,region1,ac_transmission:region2,2005-01-02 18:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 19:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 20:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 21:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-02 22:00:00,-2651.88
power,region1,ac_transmission:region2,2005-01-02 23:00:00,-2913.408
power,region1,ac_transmission:region2,2005-01-03 00:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 01:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 02:00:00,-2459.01647058823
power,region1,ac_transmission:region2,2005-01-03 03:00:00,-3170.48860746292
power,region1,ac_transmission:region2,2005-01-03 04:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-03 05:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-03 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-03 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-03 08:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-03 09:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-03 10:00:00,-2844.74352941176
power,region1,ac_transmission:region2,2005-01-03 11:00:00,-2844.74352941176
power,region1,ac_transmission:region2,2005-01-03 12:00:00,-2796.52941176471
power,region1,ac_transmission:region2,2005-01-03 13:00:00,-2748.31294117647
power,region1,ac_transmission:region2,2005-01-03 14:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-03 15:00:00,-1716.48941176471
power,region1,ac_transmission:region2,2005-01-03 16:00:00,-2246.86588235294
power,region1,ac_transmission:region2,2005-01-03 17:00:00,-2198.64941176471
power,region1,ac_transmission:region2,2005-01-03 18:00:00,-2490.0
power,region1,ac_transmission:region2,2005-01-03 19:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 20:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 21:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 22:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 23:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 00:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 01:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 02:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 03:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 04:00:00,-2952.38787681277
power,region1,ac_transmission:region2,2005-01-04 05:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-04 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-04 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-04 08:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-04 09:00:00,-2827.856
power,region1,ac_transmission:region2,2005-01-04 10:00:00,-2916.88092553365
power,region1,ac_transmission:region2,2005-01-04 11:00:00,-2844.74352941177
power,region1,ac_transmission:region2,2005-01-04 12:00:00,-2796.52941176471
power,region1,ac_transmission:region2,2005-01-04 13:00:00,-2748.31294117647
power,region1,ac_transmission:region2,2005-01-04 14:00:00,-2294.256
power,region1,ac_transmission:region2,2005-01-04 15:00:00,-1716.48941176471
power,region1,ac_transmission:region2,2005-01-04 16:00:00,-2246.86588235294
power,region1,ac_transmission:region2,2005-01-04 17:00:00,-2198.64941176471
power,region1,ac_transmission:region2,2005-01-04 18:00:00,-2102.21882352941
power,region1,ac_transmission:region2,2005-01-04 19:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 20:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 21:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 22:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 23:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 00:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 01:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 02:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 03:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 04:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 05:00:00,-3156.72351311715
power,region1,ac_transmission:region2,2005-01-05 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-05 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-05 08:00:00,-2660.592
power,region1,ac_transmission:region2,2005-01-05 09:00:00,-2375.00800000001
power,region1,ac_transmission:region2,2005-01-05 10:00:00,-2763.2
power,region1,ac_transmission:region2,2005-01-05 11:00:00,-2987.392
power,region1,ac_transmission:region2,2005-01-05 12:00:00,-3108.864
power,region1,ac_transmission:region2,2005-01-05 13:00:00,-2803.44
power,region1,ac_transmission:region2,2005-01-05 14:00:00,-1921.84
power,region1,ac_transmission:region2,2005-01-05 15:00:00,-1716.48941176471
power,region1,ac_transmission:region2,2005-01-05 16:00:00,-2246.86588235294
power,region1,ac_transmission:region2,2005-01-05 17:00:00,-2198.64941176471
power,region1,ac_transmission:region2,2005-01-05 18:00:00,-2102.21882352941
power,region1,ac_transmission:region2,2005-01-05 19:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 20:00:00,-3085.82352941176
power,region1,ac_transmission:region2,2005-01-05 21:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-05 22:00:00,-2651.88
power,region1,ac_transmission:region2,2005-01-05 23:00:00,-2700.09647058824
power,region1,demand_power,2005-01-01 00:00:00,-25284.48
power,region1,demand_power,2005-01-01 01:00:00,-24387.44
power,region1,demand_power,2005-01-01 02:00:00,-23730.656
power,region1,demand_power,2005-01-01 03:00:00,-23123.04
power,region1,demand_power,2005-01-01 04:00:00,-23119.6
power,region1,demand_power,2005-01-01 05:00:00,-23683.28
power,region1,demand_power,2005-01-01 06:00:00,-24364.72
power,region1,demand_power,2005-01-01 07:00:00,-25249.968
power,region1,demand_power,2005-01-01 08:00:00,-26090.208
power,region1,demand_power,2005-01-01 09:00:00,-26870.464
power,region1,demand_power,2005-01-01 10:00:00,-27096.64
power,region1,demand_power,2005-01-01 11:00:00,-27001.568
power,region1,demand_power,2005-01-01 12:00:00,-27097.136
power,region1,demand_power,2005-01-01 13:00:00,-27438.192
power,region1,demand_power,2005-01-01 14:00:00,-28622.992
power,region1,demand_power,2005-01-01 15:00:00,-30166.272
power,region1,demand_power,2005-01-01 16:00:00,-31613.12
power,region1,demand_power,2005-01-01 17:00:00,-31965.28
power,region1,demand_power,2005-01-01 18:00:00,-31139.792
power,region1,demand_power,2005-01-01 19:00:00,-30229.456
power,region1,demand_power,2005-01-01 20:00:00,-29165.616
power,region1,demand_power,2005-01-01 21:00:00,-27508.704
power,region1,demand_power,2005-01-01 22:00:00,-26001.632
power,region1,demand_power,2005-01-01 23:00:00,-25050.672
power,region1,demand_power,2005-01-02 00:00:00,-24391.136
power,region1,demand_power,2005-01-02 01:00:00,-24143.888
power,region1,demand_power,2005-01-02 02:00:00,-24237.76
power,region1,demand_power,2005-01-02 03:00:00,-24841.728
power,region1,demand_power,2005-01-02 04:00:00,-26832.752
power,region1,demand_power,2005-01-02 05:00:00,-29293.6
power,region1,demand_power,2005-01-02 06:00:00,-31062.336
power,region1,demand_power,2005-01-02 07:00:00,-32192.288
power,region1,demand_power,2005-01-02 08:00:00,-32969.296
power,region1,demand_power,2005-01-02 09:00:00,-33562.496
power,region1,demand_power,2005-01-02 10:00:00,-33535.504
power,region1,demand_power,2005-01-02 11:00:00,-33355.728
power,region1,demand_power,2005-01-02 12:00:00,-33234.144
power,region1,demand_power,2005-01-02 13:00:00,-33526.0
power,region1,demand_power,2005-01-02 14:00:00,-34474.864
power,region1,demand_power,2005-01-02 15:00:00,-35769.216
power,region1,demand_power,2005-01-02 16:00:00,-36819.424
power,region1,demand_power,2005-01-02 17:00:00,-36838.016
power,region1,demand_power,2005-01-02 18:00:00,-35330.4
power,region1,demand_power,2005-01-02 19:00:00,-33791.248
power,region1,demand_power,2005-01-02 20:00:00,-32205.2
power,region1,demand_power,2005-01-02 21:00:00,-30046.832
power,region1,demand_power,2005-01-02 22:00:00,-28241.6
power,region1,demand_power,2005-01-02 23:00:00,-27086.592
power,region1,demand_power,2005-01-03 00:00:00,-26405.408
power,region1,demand_power,2005-01-03 01:00:00,-26148.112
power,region1,demand_power,2005-01-03 02:00:00,-26243.968
power,region1,demand_power,2005-01-03 03:00:00,-26815.568
power,region1,demand_power,2005-01-03 04:00:00,-29051.792
power,region1,demand_power,2005-01-03 05:00:00,-31915.536
power,region1,demand_power,2005-01-03 06:00:00,-33825.792
power,region1,demand_power,2005-01-03 07:00:00,-34791.312
power,region1,demand_power,2005-01-03 08:00:00,-35248.512
power,region1,demand_power,2005-01-03 09:00:00,-35543.136
power,region1,demand_power,2005-01-03 10:00:00,-35327.968
power,region1,demand_power,2005-01-03 11:00:00,-35020.832
power,region1,demand_power,2005-01-03 12:00:00,-34918.768
power,region1,demand_power,2005-01-03 13:00:00,-35260.944
power,region1,demand_power,2005-01-03 14:00:00,-36226.224
power,region1,demand_power,2005-01-03 15:00:00,-37500.768
power,region1,demand_power,2005-01-03 16:00:00,-38467.44
power,region1,demand_power,2005-01-03 17:00:00,-38202.432
power,region1,demand_power,2005-01-03 18:00:00,-36510.0
power,region1,demand_power,2005-01-03 19:00:00,-34852.768
power,region1,demand_power,2005-01-03 20:00:00,-33083.696
power,region1,demand_power,2005-01-03 21:00:00,-30834.896
power,region1,demand_power,2005-01-03 22:00:00,-28971.616
power,region1,demand_power,2005-01-03 23:00:00,-27761.44
power,region1,demand_power,2005-01-04 00:00:00,-27034.912
power,region1,demand_power,2005-01-04 01:00:00,-26741.904
power,region1,demand_power,2005-01-04 02:00:00,-26864.928
power,region1,demand_power,2005-01-04 03:00:00,-27412.8
power,region1,demand_power,2005-01-04 04:00:00,-29627.424
power,region1,demand_power,2005-01-04 05:00:00,-32533.488
power,region1,demand_power,2005-01-04 06:00:00,-34473.6
power,region1,demand_power,2005-01-04 07:00:00,-35410.48
power,region1,demand_power,2005-01-04 08:00:00,-35833.568
power,region1,demand_power,2005-01-04 09:00:00,-36172.144
power,region1,demand_power,2005-01-04 10:00:00,-35937.632
power,region1,demand_power,2005-01-04 11:00:00,-35691.072
power,region1,demand_power,2005-01-04 12:00:00,-35608.112
power,region1,demand_power,2005-01-04 13:00:00,-35839.488
power,region1,demand_power,2005-01-04 14:00:00,-36705.744
power,region1,demand_power,2005-01-04 15:00:00,-37945.824
power,region1,demand_power,2005-01-04 16:00:00,-38961.968
power,region1,demand_power,2005-01-04 17:00:00,-38735.024
power,region1,demand_power,2005-01-04 18:00:00,-37059.04
power,region1,demand_power,2005-01-04 19:00:00,-35364.128
power,region1,demand_power,2005-01-04 20:00:00,-33644.608
power,region1,demand_power,2005-01-04 21:00:00,-31305.44
power,region1,demand_power,2005-01-04 22:00:00,-29363.632
power,region1,demand_power,2005-01-04 23:00:00,-28084.144
power,region1,demand_power,2005-01-05 00:00:00,-27373.728
power,region1,demand_power,2005-01-05 01:00:00,-27105.712
power,region1,demand_power,2005-01-05 02:00:00,-27225.792
power,region1,demand_power,2005-01-05 03:00:00,-27813.312
power,region1,demand_power,2005-01-05 04:00:00,-30075.072
power,region1,demand_power,2005-01-05 05:00:00,-33053.84
power,region1,demand_power,2005-01-05 06:00:00,-35021.76
power,region1,demand_power,2005-01-05 07:00:00,-35959.136
power,region1,demand_power,2005-01-05 08:00:00,-36339.408
power,region1,demand_power,2005-01-05 09:00:00,-36624.992
power,region1,demand_power,2005-01-05 10:00:00,-36236.8
power,region1,demand_power,2005-01-05 11:00:00,-36012.608
power,region1,demand_power,2005-01-05 12:00:00,-35891.136
power,region1,demand_power,2005-01-05 13:00:00,-36196.56
power,region1,demand_power,2005-01-05 14:00:00,-37078.16
power,region1,demand_power,2005-01-05 15:00:00,-38203.12
power,region1,demand_power,2005-01-05 16:00:00,-39033.52
power,region1,demand_power,2005-01-05 17:00:00,-38631.008
power,region1,demand_power,2005-01-05 18:00:00,-36990.8
power,region1,demand_power,2005-01-05 19:00:00,-35330.832
power,region1,demand_power,2005-01-05 20:00:00,-33623.456
power,region1,demand_power,2005-01-05 21:00:00,-31341.168
power,region1,demand_power,2005-01-05 22:00:00,-29390.624
power,region1,demand_power,2005-01-05 23:00:00,-28132.928
power,region1,free_transmission:region1-1,2005-01-01 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 05:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 06:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 07:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 08:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 09:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 10:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 11:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 12:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 13:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 14:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 15:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 16:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 17:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 18:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 19:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 20:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 21:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 22:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 23:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 05:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 06:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 07:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 08:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 09:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 10:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 11:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 12:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 13:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 14:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 15:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 16:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 17:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 18:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 19:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 20:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 21:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 22:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 23:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 05:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 06:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 07:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 08:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 09:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 10:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 11:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 12:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 13:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 14:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 15:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 16:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 17:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 18:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 19:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 20:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 21:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 22:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 23:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 05:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 06:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 07:00:00,0.0
