carriers,locs,techs,timesteps,carrier_prod
power,region1,ac_transmission:region2,2005-01-01 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-01 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-02 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-03 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-04 23:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 00:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 01:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 02:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 03:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 04:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 05:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 06:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 07:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 08:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 09:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 10:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 11:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 12:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 13:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 14:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 15:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 16:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 17:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 18:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 19:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 20:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 21:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 22:00:00,0.0
power,region1,ac_transmission:region2,2005-01-05 23:00:00,0.0
power,region1,ccgt,2005-01-01 00:00:00,26707.6247632743
power,region1,ccgt,2005-01-01 01:00:00,26894.6729411765
power,region1,ccgt,2005-01-01 02:00:00,26189.6724705882
power,region1,ccgt,2005-01-01 03:00:00,25630.2729411765
power,region1,ccgt,2005-01-01 04:00:00,25675.0494117647
power,region1,ccgt,2005-01-01 05:00:00,26238.7294117647
power,region1,ccgt,2005-01-01 06:00:00,26968.3835294118
power,region1,ccgt,2005-01-01 07:00:00,26945.8688181001
power,region1,ccgt,2005-01-01 08:00:00,19983.168
power,region1,ccgt,2005-01-01 09:00:00,20763.424
power,region1,ccgt,2005-01-01 10:00:00,20941.3835294118
power,region1,ccgt,2005-01-01 11:00:00,21232.0409411765
power,region1,ccgt,2005-01-01 12:00:00,21327.6089411765
power,region1,ccgt,2005-01-01 13:00:00,21186.5049411765
power,region1,ccgt,2005-01-01 14:00:00,22853.4649411765
power,region1,ccgt,2005-01-01 15:00:00,24396.7449411765
power,region1,ccgt,2005-01-01 16:00:00,25843.5929411765
power,region1,ccgt,2005-01-01 17:00:00,26195.7529411765
power,region1,ccgt,2005-01-01 18:00:00,25370.2649411765
power,region1,ccgt,2005-01-01 19:00:00,24459.9289411765
power,region1,ccgt,2005-01-01 20:00:00,23251.4395294118
power,region1,ccgt,2005-01-01 21:00:00,21401.664
power,region1,ccgt,2005-01-01 22:00:00,19653.512
power,region1,ccgt,2005-01-01 23:00:00,28062.4262860817
power,region1,ccgt,2005-01-02 00:00:00,27621.6089411765
power,region1,ccgt,2005-01-02 01:00:00,27374.3609411765
power,region1,ccgt,2005-01-02 02:00:00,26696.7764705882
power,region1,ccgt,2005-01-02 03:00:00,28072.2009411765
power,region1,ccgt,2005-01-02 04:00:00,29388.2014117647
power,region1,ccgt,2005-01-02 05:00:00,30000.0
power,region1,ccgt,2005-01-02 06:00:00,30000.0
power,region1,ccgt,2005-01-02 07:00:00,30000.0
power,region1,ccgt,2005-01-02 08:00:00,27199.7689411765
power,region1,ccgt,2005-01-02 09:00:00,27792.9689411765
power,region1,ccgt,2005-01-02 10:00:00,27765.9769411765
power,region1,ccgt,2005-01-02 11:00:00,27586.2009411765
power,region1,ccgt,2005-01-02 12:00:00,27030.6734117647
power,region1,ccgt,2005-01-02 13:00:00,27756.4729411765
power,region1,ccgt,2005-01-02 14:00:00,28705.3369411765
power,region1,ccgt,2005-01-02 15:00:00,29999.6889411765
power,region1,ccgt,2005-01-02 16:00:00,30000.0
power,region1,ccgt,2005-01-02 17:00:00,30000.0
power,region1,ccgt,2005-01-02 18:00:00,29560.8729411765
power,region1,ccgt,2005-01-02 19:00:00,28021.7209411765
power,region1,ccgt,2005-01-02 20:00:00,26435.6729411765
power,region1,ccgt,2005-01-02 21:00:00,27009.514152561
power,region1,ccgt,2005-01-02 22:00:00,30000.0
power,region1,ccgt,2005-01-02 23:00:00,30000.0
power,region1,ccgt,2005-01-03 00:00:00,29635.8809411765
power,region1,ccgt,2005-01-03 01:00:00,29378.5849411765
power,region1,ccgt,2005-01-03 02:00:00,28702.9844705882
power,region1,ccgt,2005-01-03 03:00:00,29986.0566074629
power,region1,ccgt,2005-01-03 04:00:00,30000.0
power,region1,ccgt,2005-01-03 05:00:00,30000.0
power,region1,ccgt,2005-01-03 06:00:00,30000.0
power,region1,ccgt,2005-01-03 07:00:00,30000.0
power,region1,ccgt,2005-01-03 08:00:00,29999.9999999991
power,region1,ccgt,2005-01-03 09:00:00,30000.0
power,region1,ccgt,2005-01-03 10:00:00,30000.0
power,region1,ccgt,2005-01-03 11:00:00,30000.0
power,region1,ccgt,2005-01-03 12:00:00,30000.0
power,region1,ccgt,2005-01-03 13:00:00,30000.0
power,region1,ccgt,2005-01-03 14:00:00,30000.0
power,region1,ccgt,2005-01-03 15:00:00,30000.0
power,region1,ccgt,2005-01-03 16:00:00,30000.0
power,region1,ccgt,2005-01-03 17:00:00,30000.0
power,region1,ccgt,2005-01-03 18:00:00,30000.0
power,region1,ccgt,2005-01-03 19:00:00,30000.0
power,region1,ccgt,2005-01-03 20:00:00,30000.0
power,region1,ccgt,2005-01-03 21:00:00,30000.0
power,region1,ccgt,2005-01-03 22:00:00,30000.0
power,region1,ccgt,2005-01-03 23:00:00,30000.0
power,region1,ccgt,2005-01-04 00:00:00,30000.0
power,region1,ccgt,2005-01-04 01:00:00,29972.3769411765
power,region1,ccgt,2005-01-04 02:00:00,30000.0
power,region1,ccgt,2005-01-04 03:00:00,30000.0
power,region1,ccgt,2005-01-04 04:00:00,30000.0
power,region1,ccgt,2005-01-04 05:00:00,30000.0
power,region1,ccgt,2005-01-04 06:00:00,30000.0
power,region1,ccgt,2005-01-04 07:00:00,30000.0
power,region1,ccgt,2005-01-04 08:00:00,30000.0
power,region1,ccgt,2005-01-04 09:00:00,30000.0
power,region1,ccgt,2005-01-04 10:00:00,30000.0
power,region1,ccgt,2005-01-04 11:00:00,30000.0
power,region1,ccgt,2005-01-04 12:00:00,30000.0
power,region1,ccgt,2005-01-04 13:00:00,30000.0
power,region1,ccgt,2005-01-04 14:00:00,30000.0
power,region1,ccgt,2005-01-04 15:00:00,30000.0
power,region1,ccgt,2005-01-04 16:00:00,30000.0
power,region1,ccgt,2005-01-04 17:00:00,30000.0
power,region1,ccgt,2005-01-04 18:00:00,30000.0
power,region1,ccgt,2005-01-04 19:00:00,30000.0
power,region1,ccgt,2005-01-04 20:00:00,30000.0
power,region1,ccgt,2005-01-04 21:00:00,30000.0
power,region1,ccgt,2005-01-04 22:00:00,30000.0
power,region1,ccgt,2005-01-04 23:00:00,30000.0
power,region1,ccgt,2005-01-05 00:00:00,30000.0
power,region1,ccgt,2005-01-05 01:00:00,30000.0
power,region1,ccgt,2005-01-05 02:00:00,30000.0
power,region1,ccgt,2005-01-05 03:00:00,30000.0
power,region1,ccgt,2005-01-05 04:00:00,30000.0
power,region1,ccgt,2005-01-05 05:00:00,30000.0
power,region1,ccgt,2005-01-05 06:00:00,30000.0
power,region1,ccgt,2005-01-05 07:00:00,30000.0
power,region1,ccgt,2005-01-05 08:00:00,30000.0
power,region1,ccgt,2005-01-05 09:00:00,30000.0
power,region1,ccgt,2005-01-05 10:00:00,30000.0
power,region1,ccgt,2005-01-05 11:00:00,30000.0
power,region1,ccgt,2005-01-05 12:00:00,30000.0
power,region1,ccgt,2005-01-05 13:00:00,30000.0
power,region1,ccgt,2005-01-05 14:00:00,30000.0
power,region1,ccgt,2005-01-05 15:00:00,30000.0
power,region1,ccgt,2005-01-05 16:00:00,30000.0
power,region1,ccgt,2005-01-05 17:00:00,30000.0
power,region1,ccgt,2005-01-05 18:00:00,30000.0
power,region1,ccgt,2005-01-05 19:00:00,29561.3049411765
power,region1,ccgt,2005-01-05 20:00:00,27709.2795294118
power,region1,ccgt,2005-01-05 21:00:00,25234.128
power,region1,ccgt,2005-01-05 22:00:00,23042.504
power,region1,ccgt,2005-01-05 23:00:00,21833.0244705882
power,region1,free_transmission:region1-1,2005-01-01 00:00:00,1228.73523672569
power,region1,free_transmission:region1-1,2005-01-01 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 05:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 06:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-01 07:00:00,1004.19565248816
power,region1,free_transmission:region1-1,2005-01-01 08:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 09:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 10:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 11:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 12:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 13:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 14:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 15:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 16:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 17:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 18:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 19:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 20:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 21:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 22:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-01 23:00:00,94.8016154988742
power,region1,free_transmission:region1-1,2005-01-02 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 04:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-02 05:00:00,1849.0494117647
power,region1,free_transmission:region1-1,2005-01-02 06:00:00,3665.99952941176
power,region1,free_transmission:region1-1,2005-01-02 07:00:00,4892.38447058823
power,region1,free_transmission:region1-1,2005-01-02 08:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 09:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 10:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 11:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 12:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 13:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 14:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 15:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 16:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 17:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 18:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 19:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 20:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-02 21:00:00,6267.79078861552
power,region1,free_transmission:region1-1,2005-01-02 22:00:00,893.479999999995
power,region1,free_transmission:region1-1,2005-01-02 23:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 00:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 02:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 03:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-03 04:00:00,1607.2414117647
power,region1,free_transmission:region1-1,2005-01-03 05:00:00,4470.9854117647
power,region1,free_transmission:region1-1,2005-01-03 06:00:00,6429.45552941176
power,region1,free_transmission:region1-1,2005-01-03 07:00:00,7491.40847058824
power,region1,free_transmission:region1-1,2005-01-03 08:00:00,8141.47200000091
power,region1,free_transmission:region1-1,2005-01-03 09:00:00,8436.096
power,region1,free_transmission:region1-1,2005-01-03 10:00:00,8172.71152941176
power,region1,free_transmission:region1-1,2005-01-03 11:00:00,7865.57552941176
power,region1,free_transmission:region1-1,2005-01-03 12:00:00,7715.2974117647
power,region1,free_transmission:region1-1,2005-01-03 13:00:00,8009.25694117646
power,region1,free_transmission:region1-1,2005-01-03 14:00:00,8926.32047058823
power,region1,free_transmission:region1-1,2005-01-03 15:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-03 16:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-03 17:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-03 18:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-03 19:00:00,8083.24094117646
power,region1,free_transmission:region1-1,2005-01-03 20:00:00,6314.16894117647
power,region1,free_transmission:region1-1,2005-01-03 21:00:00,4065.36894117647
power,region1,free_transmission:region1-1,2005-01-03 22:00:00,2202.08894117647
power,region1,free_transmission:region1-1,2005-01-03 23:00:00,991.91294117647
power,region1,free_transmission:region1-1,2005-01-04 00:00:00,265.38494117647
power,region1,free_transmission:region1-1,2005-01-04 01:00:00,0.0
power,region1,free_transmission:region1-1,2005-01-04 02:00:00,95.4009411764711
power,region1,free_transmission:region1-1,2005-01-04 03:00:00,643.27294117647
power,region1,free_transmission:region1-1,2005-01-04 04:00:00,2579.81187681277
power,region1,free_transmission:region1-1,2005-01-04 05:00:00,5088.9374117647
power,region1,free_transmission:region1-1,2005-01-04 06:00:00,7077.26352941176
power,region1,free_transmission:region1-1,2005-01-04 07:00:00,8110.57647058824
power,region1,free_transmission:region1-1,2005-01-04 08:00:00,8726.528
power,region1,free_transmission:region1-1,2005-01-04 09:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-04 10:00:00,8854.51292553365
power,region1,free_transmission:region1-1,2005-01-04 11:00:00,8535.81552941176
power,region1,free_transmission:region1-1,2005-01-04 12:00:00,8404.6414117647
power,region1,free_transmission:region1-1,2005-01-04 13:00:00,8587.80094117647
power,region1,free_transmission:region1-1,2005-01-04 14:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-04 15:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-04 16:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-04 17:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-04 18:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-04 19:00:00,8594.60094117647
power,region1,free_transmission:region1-1,2005-01-04 20:00:00,6875.08094117647
power,region1,free_transmission:region1-1,2005-01-04 21:00:00,4535.91294117647
power,region1,free_transmission:region1-1,2005-01-04 22:00:00,2594.10494117647
power,region1,free_transmission:region1-1,2005-01-04 23:00:00,1314.61694117647
power,region1,free_transmission:region1-1,2005-01-05 00:00:00,604.200941176469
power,region1,free_transmission:region1-1,2005-01-05 01:00:00,336.184941176472
power,region1,free_transmission:region1-1,2005-01-05 02:00:00,456.264941176471
power,region1,free_transmission:region1-1,2005-01-05 03:00:00,1043.78494117647
power,region1,free_transmission:region1-1,2005-01-05 04:00:00,3305.54494117647
power,region1,free_transmission:region1-1,2005-01-05 05:00:00,6210.56351311714
power,region1,free_transmission:region1-1,2005-01-05 06:00:00,7625.42352941177
power,region1,free_transmission:region1-1,2005-01-05 07:00:00,8659.23247058823
power,region1,free_transmission:region1-1,2005-01-05 08:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 09:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 10:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 11:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 12:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 13:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 14:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 15:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 16:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 17:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 18:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 19:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 20:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 21:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 22:00:00,9000.0
power,region1,free_transmission:region1-1,2005-01-05 23:00:00,9000.0
power,region1,free_transmission:region1-2,2005-01-01 00:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 01:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 02:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 03:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 04:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 05:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 06:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 07:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 08:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 09:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 10:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 11:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-01 12:00:00,0.0
