locs,techs,timesteps,storage
region1-1,csp,2005-01-01 00:00:00,0.0
region1-1,csp,2005-01-01 01:00:00,0.0
region1-1,csp,2005-01-01 02:00:00,0.0
region1-1,csp,2005-01-01 03:00:00,0.0
region1-1,csp,2005-01-01 04:00:00,0.0
region1-1,csp,2005-01-01 05:00:00,0.0
region1-1,csp,2005-01-01 06:00:00,0.0
region1-1,csp,2005-01-01 07:00:00,0.0
region1-1,csp,2005-01-01 08:00:00,9941.4152823466
region1-1,csp,2005-01-01 09:00:00,42410.4620206069
region1-1,csp,2005-01-01 10:00:00,85606.3361473177
region1-1,csp,2005-01-01 11:00:00,128715.818525775
region1-1,csp,2005-01-01 12:00:00,171739.081939475
region1-1,csp,2005-01-01 13:00:00,206226.014132736
region1-1,csp,2005-01-01 14:00:00,221137.681185681
region1-1,csp,2005-01-01 15:00:00,203917.873628366
region1-1,csp,2005-01-01 16:00:00,178510.037881109
region1-1,csp,2005-01-01 17:00:00,153153.017805347
region1-1,csp,2005-01-01 18:00:00,127846.711769736
region1-1,csp,2005-01-01 19:00:00,102591.018346197
region1-1,csp,2005-01-01 20:00:00,77385.8363095042
region1-1,csp,2005-01-01 21:00:00,52231.0646368851
region1-1,csp,2005-01-01 22:00:00,27126.6025076114
region1-1,csp,2005-01-01 23:00:00,26809.0114817659
region1-1,csp,2005-01-02 00:00:00,26755.3934588024
region1-1,csp,2005-01-02 01:00:00,26701.8826718848
region1-1,csp,2005-01-02 02:00:00,26648.478906541
region1-1,csp,2005-01-02 03:00:00,26595.1819487279
region1-1,csp,2005-01-02 04:00:00,26541.9915848305
region1-1,csp,2005-01-02 05:00:00,21352.6592356478
region1-1,csp,2005-01-02 06:00:00,11126.6218910327
region1-1,csp,2005-01-02 07:00:00,0.0
region1-1,csp,2005-01-02 08:00:00,9075.0488474351
region1-1,csp,2005-01-02 09:00:00,40349.524750285
region1-1,csp,2005-01-02 10:00:00,82822.6259350261
region1-1,csp,2005-01-02 11:00:00,125937.675733908
region1-1,csp,2005-01-02 12:00:00,168776.427273263
region1-1,csp,2005-01-02 13:00:00,202659.34479225
region1-1,csp,2005-01-02 14:00:00,216806.61415141
region1-1,csp,2005-01-02 15:00:00,199969.644722449
region1-1,csp,2005-01-02 16:00:00,174569.705433004
region1-1,csp,2005-01-02 17:00:00,149220.566022138
region1-1,csp,2005-01-02 18:00:00,123922.124890094
region1-1,csp,2005-01-02 19:00:00,98674.2806403135
region1-1,csp,2005-01-02 20:00:00,73476.9320790329
region1-1,csp,2005-01-02 21:00:00,55919.4482464984
region1-1,csp,2005-01-02 22:00:00,53325.7204611165
region1-1,csp,2005-01-02 23:00:00,53219.0690201943
region1-1,csp,2005-01-03 00:00:00,53112.6308821539
region1-1,csp,2005-01-03 01:00:00,53006.4056203896
region1-1,csp,2005-01-03 02:00:00,52900.3928091488
region1-1,csp,2005-01-03 03:00:00,52794.5920235305
region1-1,csp,2005-01-03 04:00:00,48224.4433623592
region1-1,csp,2005-01-03 05:00:00,35708.5905540659
region1-1,csp,2005-01-03 06:00:00,17777.5746801473
region1-1,csp,2005-01-03 07:00:00,0.0
region1-1,csp,2005-01-03 08:00:00,12347.0101960088
region1-1,csp,2005-01-03 09:00:00,46252.6113590945
region1-1,csp,2005-01-03 10:00:00,91738.8247165401
region1-1,csp,2005-01-03 11:00:00,137987.221202826
region1-1,csp,2005-01-03 12:00:00,184560.560111826
region1-1,csp,2005-01-03 13:00:00,221959.610655539
region1-1,csp,2005-01-03 14:00:00,237588.190018825
region1-1,csp,2005-01-03 15:00:00,221651.521330295
region1-1,csp,2005-01-03 16:00:00,196208.218287634
region1-1,csp,2005-01-03 17:00:00,170815.801851059
region1-1,csp,2005-01-03 18:00:00,145474.170247357
region1-1,csp,2005-01-03 19:00:00,122729.774848039
region1-1,csp,2005-01-03 20:00:00,104944.957128408
region1-1,csp,2005-01-03 21:00:00,93442.375710883
region1-1,csp,2005-01-03 22:00:00,87138.5772339711
region1-1,csp,2005-01-03 23:00:00,84208.9863540129
region1-1,csp,2005-01-04 00:00:00,83303.387989148
region1-1,csp,2005-01-04 01:00:00,83136.7812131697
region1-1,csp,2005-01-04 02:00:00,82705.5050363643
region1-1,csp,2005-01-04 03:00:00,80753.2247452458
region1-1,csp,2005-01-04 04:00:00,73425.5741934977
region1-1,csp,2005-01-04 05:00:00,59142.7857902087
region1-1,csp,2005-01-04 06:00:00,39365.4348591512
region1-1,csp,2005-01-04 07:00:00,19312.5827033209
region1-1,csp,2005-01-04 08:00:00,28994.3450304774
region1-1,csp,2005-01-04 09:00:00,59232.2834535267
region1-1,csp,2005-01-04 10:00:00,102373.474808926
region1-1,csp,2005-01-04 11:00:00,146738.824217249
region1-1,csp,2005-01-04 12:00:00,191379.815475776
region1-1,csp,2005-01-04 13:00:00,224243.429185366
region1-1,csp,2005-01-04 14:00:00,237535.071774341
region1-1,csp,2005-01-04 15:00:00,221851.227126582
region1-1,csp,2005-01-04 16:00:00,196407.524672329
region1-1,csp,2005-01-04 17:00:00,171014.709622985
region1-1,csp,2005-01-04 18:00:00,145672.680203739
region1-1,csp,2005-01-04 19:00:00,121507.443340063
region1-1,csp,2005-01-04 20:00:00,102166.981394559
region1-1,csp,2005-01-04 21:00:00,89362.8892618357
region1-1,csp,2005-01-04 22:00:00,81978.3164244885
region1-1,csp,2005-01-04 23:00:00,78162.6460661493
region1-1,csp,2005-01-05 00:00:00,76327.9848263046
region1-1,csp,2005-01-05 01:00:00,75241.4817978284
region1-1,csp,2005-01-05 02:00:00,73823.5962198537
region1-1,csp,2005-01-05 03:00:00,70776.5464130349
region1-1,csp,2005-01-05 04:00:00,61452.924039163
region1-1,csp,2005-01-05 05:00:00,44078.4528768704
region1-1,csp,2005-01-05 06:00:00,22808.5639449729
region1-1,csp,2005-01-05 07:00:00,0.0
region1-1,csp,2005-01-05 08:00:00,11159.9707327649
region1-1,csp,2005-01-05 09:00:00,39158.3229557917
region1-1,csp,2005-01-05 10:00:00,82360.7013606321
region1-1,csp,2005-01-05 11:00:00,125476.675008663
region1-1,csp,2005-01-05 12:00:00,167934.093002739
region1-1,csp,2005-01-05 13:00:00,202976.587771523
region1-1,csp,2005-01-05 14:00:00,220228.287364742
region1-1,csp,2005-01-05 15:00:00,205287.275415518
region1-1,csp,2005-01-05 16:00:00,179876.700864687
region1-1,csp,2005-01-05 17:00:00,154516.947462958
region1-1,csp,2005-01-05 18:00:00,129207.913568032
region1-1,csp,2005-01-05 19:00:00,103949.497740896
region1-1,csp,2005-01-05 20:00:00,78741.5987454138
region1-1,csp,2005-01-05 21:00:00,53584.115547923
region1-1,csp,2005-01-05 22:00:00,28476.9473168272
region1-1,csp,2005-01-05 23:00:00,3419.99342219352
region1-2,csp,2005-01-01 00:00:00,0.0
region1-2,csp,2005-01-01 01:00:00,0.0
region1-2,csp,2005-01-01 02:00:00,0.0
region1-2,csp,2005-01-01 03:00:00,0.0
region1-2,csp,2005-01-01 04:00:00,0.0
region1-2,csp,2005-01-01 05:00:00,0.0
region1-2,csp,2005-01-01 06:00:00,0.0
region1-2,csp,2005-01-01 07:00:00,0.0
region1-2,csp,2005-01-01 08:00:00,0.0
region1-2,csp,2005-01-01 09:00:00,0.0
region1-2,csp,2005-01-01 10:00:00,0.0
region1-2,csp,2005-01-01 11:00:00,0.0
region1-2,csp,2005-01-01 12:00:00,0.0
region1-2,csp,2005-01-01 13:00:00,0.0
region1-2,csp,2005-01-01 14:00:00,0.0
region1-2,csp,2005-01-01 15:00:00,0.0
region1-2,csp,2005-01-01 16:00:00,0.0
region1-2,csp,2005-01-01 17:00:00,0.0
region1-2,csp,2005-01-01 18:00:00,0.0
region1-2,csp,2005-01-01 19:00:00,0.0
region1-2,csp,2005-01-01 20:00:00,0.0
region1-2,csp,2005-01-01 21:00:00,0.0
region1-2,csp,2005-01-01 22:00:00,0.0
region1-2,csp,2005-01-01 23:00:00,0.0
region1-2,csp,2005-01-02 00:00:00,0.0
region1-2,csp,2005-01-02 01:00:00,0.0
region1-2,csp,2005-01-02 02:00:00,0.0
region1-2,csp,2005-01-02 03:00:00,0.0
region1-2,csp,2005-01-02 04:00:00,0.0
region1-2,csp,2005-01-02 05:00:00,0.0
region1-2,csp,2005-01-02 06:00:00,0.0
region1-2,csp,2005-01-02 07:00:00,0.0
region1-2,csp,2005-01-02 08:00:00,0.0
region1-2,csp,2005-01-02 09:00:00,0.0
region1-2,csp,2005-01-02 10:00:00,0.0
region1-2,csp,2005-01-02 11:00:00,0.0
region1-2,csp,2005-01-02 12:00:00,0.0
region1-2,csp,2005-01-02 13:00:00,0.0
region1-2,csp,2005-01-02 14:00:00,0.0
region1-2,csp,2005-01-02 15:00:00,0.0
region1-2,csp,2005-01-02 16:00:00,0.0
region1-2,csp,2005-01-02 17:00:00,0.0
region1-2,csp,2005-01-02 18:00:00,0.0
region1-2,csp,2005-01-02 19:00:00,0.0
region1-2,csp,2005-01-02 20:00:00,0.0
region1-2,csp,2005-01-02 21:00:00,0.0
region1-2,csp,2005-01-02 22:00:00,0.0
region1-2,csp,2005-01-02 23:00:00,0.0
region1-2,csp,2005-01-03 00:00:00,0.0
region1-2,csp,2005-01-03 01:00:00,0.0
region1-2,csp,2005-01-03 02:00:00,0.0
region1-2,csp,2005-01-03 03:00:00,0.0
region1-2,csp,2005-01-03 04:00:00,0.0
region1-2,csp,2005-01-03 05:00:00,0.0
region1-2,csp,2005-01-03 06:00:00,0.0
region1-2,csp,2005-01-03 07:00:00,0.0
region1-2,csp,2005-01-03 08:00:00,0.0
region1-2,csp,2005-01-03 09:00:00,0.0
region1-2,csp,2005-01-03 10:00:00,0.0
region1-2,csp,2005-01-03 11:00:00,0.0
region1-2,csp,2005-01-03 12:00:00,0.0
region1-2,csp,2005-01-03 13:00:00,0.0
region1-2,csp,2005-01-03 14:00:00,0.0
region1-2,csp,2005-01-03 15:00:00,0.0
region1-2,csp,2005-01-03 16:00:00,0.0
region1-2,csp,2005-01-03 17:00:00,0.0
region1-2,csp,2005-01-03 18:00:00,0.0
region1-2,csp,2005-01-03 19:00:00,0.0
region1-2,csp,2005-01-03 20:00:00,0.0
region1-2,csp,2005-01-03 21:00:00,0.0
region1-2,csp,2005-01-03 22:00:00,0.0
region1-2,csp,2005-01-03 23:00:00,0.0
region1-2,csp,2005-01-04 00:00:00,0.0
region1-2,csp,2005-01-04 01:00:00,0.0
region1-2,csp,2005-01-04 02:00:00,0.0
region1-2,csp,2005-01-04 03:00:00,0.0
region1-2,csp,2005-01-04 04:00:00,0.0
region1-2,csp,2005-01-04 05:00:00,0.0
region1-2,csp,2005-01-04 06:00:00,0.0
region1-2,csp,2005-01-04 07:00:00,0.0
region1-2,csp,2005-01-04 08:00:00,0.0
region1-2,csp,2005-01-04 09:00:00,0.0
region1-2,csp,2005-01-04 10:00:00,0.0
region1-2,csp,2005-01-04 11:00:00,0.0
region1-2,csp,2005-01-04 12:00:00,0.0
region1-2,csp,2005-01-04 13:00:00,0.0
region1-2,csp,2005-01-04 14:00:00,0.0
region1-2,csp,2005-01-04 15:00:00,0.0
region1-2,csp,2005-01-04 16:00:00,0.0
region1-2,csp,2005-01-04 17:00:00,0.0
region1-2,csp,2005-01-04 18:00:00,0.0
region1-2,csp,2005-01-04 19:00:00,0.0
region1-2,csp,2005-01-04 20:00:00,0.0
region1-2,csp,2005-01-04 21:00:00,0.0
region1-2,csp,2005-01-04 22:00:00,0.0
region1-2,csp,2005-01-04 23:00:00,0.0
region1-2,csp,2005-01-05 00:00:00,0.0
region1-2,csp,2005-01-05 01:00:00,0.0
region1-2,csp,2005-01-05 02:00:00,0.0
region1-2,csp,2005-01-05 03:00:00,0.0
region1-2,csp,2005-01-05 04:00:00,0.0
region1-2,csp,2005-01-05 05:00:00,0.0
region1-2,csp,2005-01-05 06:00:00,0.0
region1-2,csp,2005-01-05 07:00:00,0.0
region1-2,csp,2005-01-05 08:00:00,0.0
region1-2,csp,2005-01-05 09:00:00,0.0
region1-2,csp,2005-01-05 10:00:00,0.0
region1-2,csp,2005-01-05 11:00:00,0.0
region1-2,csp,2005-01-05 12:00:00,0.0
region1-2,csp,2005-01-05 13:00:00,0.0
region1-2,csp,2005-01-05 14:00:00,0.0
region1-2,csp,2005-01-05 15:00:00,0.0
region1-2,csp,2005-01-05 16:00:00,0.0
region1-2,csp,2005-01-05 17:00:00,0.0
region1-2,csp,2005-01-05 18:00:00,0.0
region1-2,csp,2005-01-05 19:00:00,0.0
region1-2,csp,2005-01-05 20:00:00,0.0
region1-2,csp,2005-01-05 21:00:00,0.0
region1-2,csp,2005-01-05 22:00:00,0.0
region1-2,csp,2005-01-05 23:00:00,0.0
region1-3,csp,2005-01-01 00:00:00,0.0
region1-3,csp,2005-01-01 01:00:00,0.0
region1-3,csp,2005-01-01 02:00:00,0.0
region1-3,csp,2005-01-01 03:00:00,0.0
region1-3,csp,2005-01-01 04:00:00,0.0
region1-3,csp,2005-01-01 05:00:00,0.0
region1-3,csp,2005-01-01 06:00:00,0.0
region1-3,csp,2005-01-01 07:00:00,0.0
region1-3,csp,2005-01-01 08:00:00,0.0
region1-3,csp,2005-01-01 09:00:00,227.740415037697
region1-3,csp,2005-01-01 10:00:00,1686.14062709284
region1-3,csp,2005-01-01 11:00:00,3974.72609057377
region1-3,csp,2005-01-01 12:00:00,6258.73438312775
region1-3,csp,2005-01-01 13:00:00,8290.11012832261
region1-3,csp,2005-01-01 14:00:00,9179.91758141847
region1-3,csp,2005-01-01 15:00:00,9161.55774625564
region1-3,csp,2005-01-01 16:00:00,9143.23463076313
region1-3,csp,2005-01-01 17:00:00,9124.9481615016
region1-3,csp,2005-01-01 18:00:00,9106.6982651786
region1-3,csp,2005-01-01 19:00:00,9088.48486864824
region1-3,csp,2005-01-01 20:00:00,9070.30789891094
region1-3,csp,2005-01-01 21:00:00,9052.16728311312
region1-3,csp,2005-01-01 22:00:00,9034.06294854689
region1-3,csp,2005-01-01 23:00:00,9015.9948226498
region1-3,csp,2005-01-02 00:00:00,8997.9628330045
region1-3,csp,2005-01-02 01:00:00,8979.96690733849
region1-3,csp,2005-01-02 02:00:00,8962.00697352382
region1-3,csp,2005-01-02 03:00:00,8944.08295957677
region1-3,csp,2005-01-02 04:00:00,8926.19479365762
region1-3,csp,2005-01-02 05:00:00,8908.3424040703
region1-3,csp,2005-01-02 06:00:00,8890.52571926216
region1-3,csp,2005-01-02 07:00:00,8872.74466782364
region1-3,csp,2005-01-02 08:00:00,8854.99917848799
region1-3,csp,2005-01-02 09:00:00,8837.28918013101
region1-3,csp,2005-01-02 10:00:00,9868.38989012932
region1-3,csp,2005-01-02 11:00:00,12140.6108550842
region1-3,csp,2005-01-02 12:00:00,14408.2873781091
region1-3,csp,2005-01-02 13:00:00,16171.8202015914
region1-3,csp,2005-01-02 14:00:00,17102.9923961845
region1-3,csp,2005-01-02 15:00:00,17068.7864113922
region1-3,csp,2005-01-02 16:00:00,16850.5102764779
region1-3,csp,2005-01-02 17:00:00,16714.9608899118
region1-3,csp,2005-01-02 18:00:00,16681.530968132
region1-3,csp,2005-01-02 19:00:00,16648.1679061958
region1-3,csp,2005-01-02 20:00:00,16614.8715703834
region1-3,csp,2005-01-02 21:00:00,16581.6418272426
region1-3,csp,2005-01-02 22:00:00,16548.4785435881
region1-3,csp,2005-01-02 23:00:00,16515.3815865009
region1-3,csp,2005-01-03 00:00:00,16482.3508233279
region1-3,csp,2005-01-03 01:00:00,16449.3861216813
region1-3,csp,2005-01-03 02:00:00,16416.4873494379
region1-3,csp,2005-01-03 03:00:00,16383.654374739
region1-3,csp,2005-01-03 04:00:00,16350.8870659896
region1-3,csp,2005-01-03 05:00:00,16318.1852918576
region1-3,csp,2005-01-03 06:00:00,16285.5489212739
region1-3,csp,2005-01-03 07:00:00,16252.9778234313
region1-3,csp,2005-01-03 08:00:00,16220.4718677844
region1-3,csp,2005-01-03 09:00:00,16419.4542894956
region1-3,csp,2005-01-03 10:00:00,17889.3949247626
region1-3,csp,2005-01-03 11:00:00,20145.5738796482
region1-3,csp,2005-01-03 12:00:00,22397.240476624
region1-3,csp,2005-01-03 13:00:00,24406.1406099139
region1-3,csp,2005-01-03 14:00:00,25300.4182152239
region1-3,csp,2005-01-03 15:00:00,24646.3245683359
region1-3,csp,2005-01-03 16:00:00,19835.0711348855
region1-3,csp,2005-01-03 17:00:00,15903.5081821582
region1-3,csp,2005-01-03 18:00:00,15871.7011657939
region1-3,csp,2005-01-03 19:00:00,15839.9577634623
region1-3,csp,2005-01-03 20:00:00,15808.2778479354
region1-3,csp,2005-01-03 21:00:00,15776.6612922395
region1-3,csp,2005-01-03 22:00:00,15745.107969655
region1-3,csp,2005-01-03 23:00:00,15713.6177537157
region1-3,csp,2005-01-04 00:00:00,15682.1905182083
region1-3,csp,2005-01-04 01:00:00,15650.8261371719
region1-3,csp,2005-01-04 02:00:00,15619.5244848975
region1-3,csp,2005-01-04 03:00:00,15588.2854359277
region1-3,csp,2005-01-04 04:00:00,15557.1088650559
region1-3,csp,2005-01-04 05:00:00,15525.9946473257
region1-3,csp,2005-01-04 06:00:00,15494.9426580311
region1-3,csp,2005-01-04 07:00:00,15463.952772715
region1-3,csp,2005-01-04 08:00:00,15433.0248671696
region1-3,csp,2005-01-04 09:00:00,15402.1588174353
region1-3,csp,2005-01-04 10:00:00,15638.3259741487
region1-3,csp,2005-01-04 11:00:00,17037.1202966816
region1-3,csp,2005-01-04 12:00:00,19200.5199993169
region1-3,csp,2005-01-04 13:00:00,21262.699059759
region1-3,csp,2005-01-04 14:00:00,22232.9001635062
region1-3,csp,2005-01-04 15:00:00,20348.674886055
region1-3,csp,2005-01-04 16:00:00,14172.3278630803
region1-3,csp,2005-01-04 17:00:00,8772.66817467439
region1-3,csp,2005-01-04 18:00:00,8307.18166185446
region1-3,csp,2005-01-04 19:00:00,8290.56729853075
region1-3,csp,2005-01-04 20:00:00,8273.98616393369
region1-3,csp,2005-01-04 21:00:00,8257.43819160582
region1-3,csp,2005-01-04 22:00:00,8240.92331522261
region1-3,csp,2005-01-04 23:00:00,8224.44146859217
region1-3,csp,2005-01-05 00:00:00,8207.99258565498
region1-3,csp,2005-01-05 01:00:00,8191.57660048367
region1-3,csp,2005-01-05 02:00:00,8175.19344728271
region1-3,csp,2005-01-05 03:00:00,8158.84306038814
region1-3,csp,2005-01-05 04:00:00,8142.52537426737
region1-3,csp,2005-01-05 05:00:00,8126.24032351883
region1-3,csp,2005-01-05 06:00:00,8109.98784287179
region1-3,csp,2005-01-05 07:00:00,8093.76786718605
region1-3,csp,2005-01-05 08:00:00,8077.58033145168
region1-3,csp,2005-01-05 09:00:00,8061.42517078877
region1-3,csp,2005-01-05 10:00:00,8169.2836694691
region1-3,csp,2005-01-05 11:00:00,9163.22761847207
region1-3,csp,2005-01-05 12:00:00,11211.3672990579
region1-3,csp,2005-01-05 13:00:00,13312.2757940399
region1-3,csp,2005-01-05 14:00:00,14292.8702908268
region1-3,csp,2005-01-05 15:00:00,11709.8139620098
region1-3,csp,2005-01-05 16:00:00,5351.98910532765
region1-3,csp,2005-01-05 17:00:00,258.903427770579
region1-3,csp,2005-01-05 18:00:00,0.0
region1-3,csp,2005-01-05 19:00:00,0.0
region1-3,csp,2005-01-05 20:00:00,0.0
region1-3,csp,2005-01-05 21:00:00,0.0
region1-3,csp,2005-01-05 22:00:00,0.0
region1-3,csp,2005-01-05 23:00:00,0.0
region2,battery,2005-01-01 00:00:00,0.0
region2,battery,2005-01-01 01:00:00,0.0
region2,battery,2005-01-01 02:00:00,0.0
region2,battery,2005-01-01 03:00:00,0.0
region2,battery,2005-01-01 04:00:00,0.0
region2,battery,2005-01-01 05:00:00,0.0
region2,battery,2005-01-01 06:00:00,0.0
region2,battery,2005-01-01 07:00:00,0.0
region2,battery,2005-01-01 08:00:00,0.0
region2,battery,2005-01-01 09:00:00,0.0
region2,battery,2005-01-01 10:00:00,0.0
region2,battery,2005-01-01 11:00:00,311.4765
region2,battery,2005-01-01 12:00:00,661.885900000001
region2,battery,2005-01-01 13:00:00,661.885900000001
region2,battery,2005-01-01 14:00:00,1090.1649
region2,battery,2005-01-01 15:00:00,1362.7066
region2,battery,2005-01-01 16:00:00,1190.14449473685
region2,battery,2005-01-01 17:00:00,1060.72344210527
region2,battery,2005-01-01 18:00:00,1017.58238947369
region2,battery,2005-01-01 19:00:00,1017.58238947369
region2,battery,2005-01-01 20:00:00,1017.58238947369
region2,battery,2005-01-01 21:00:00,1017.58238947369
region2,battery,2005-01-01 22:00:00,1017.58238947369
region2,battery,2005-01-01 23:00:00,1345.79837999998
region2,battery,2005-01-02 00:00:00,1813.01217999998
region2,battery,2005-01-02 01:00:00,2397.02847999998
region2,battery,2005-01-02 02:00:00,2397.02847999998
region2,battery,2005-01-02 03:00:00,2981.04477999998
region2,battery,2005-01-02 04:00:00,2981.04477999998
region2,battery,2005-01-02 05:00:00,2981.04477999998
region2,battery,2005-01-02 06:00:00,2981.04477999998
region2,battery,2005-01-02 07:00:00,2981.04477999998
region2,battery,2005-01-02 08:00:00,3253.58647999999
region2,battery,2005-01-02 09:00:00,3526.12817999999
region2,battery,2005-01-02 10:00:00,3837.60467999999
region2,battery,2005-01-02 11:00:00,4149.08117999999
region2,battery,2005-01-02 12:00:00,4149.08117999999
region2,battery,2005-01-02 13:00:00,4538.42537999999
region2,battery,2005-01-02 14:00:00,4966.70437999999
region2,battery,2005-01-02 15:00:00,5239.24607999999
region2,battery,2005-01-02 16:00:00,4186.61450105262
region2,battery,2005-01-02 17:00:00,3133.98292210525
region2,battery,2005-01-02 18:00:00,3090.84186947367
region2,battery,2005-01-02 19:00:00,3090.84186947367
region2,battery,2005-01-02 20:00:00,3207.64626947367
region2,battery,2005-01-02 21:00:00,3480.18796947367
region2,battery,2005-01-02 22:00:00,3480.18796947367
region2,battery,2005-01-02 23:00:00,3652.43702947368
region2,battery,2005-01-03 00:00:00,4119.65082947368
region2,battery,2005-01-03 01:00:00,4703.66712947368
region2,battery,2005-01-03 02:00:00,4703.66712947368
region2,battery,2005-01-03 03:00:00,5239.24607999999
region2,battery,2005-01-03 04:00:00,5239.24607999999
region2,battery,2005-01-03 05:00:00,5239.24607999999
region2,battery,2005-01-03 06:00:00,5239.24607999999
region2,battery,2005-01-03 07:00:00,5239.24607999999
region2,battery,2005-01-03 08:00:00,5239.24607999999
region2,battery,2005-01-03 09:00:00,5239.24607999999
region2,battery,2005-01-03 10:00:00,5239.24607999999
region2,battery,2005-01-03 11:00:00,5239.24607999999
region2,battery,2005-01-03 12:00:00,5239.24607999999
region2,battery,2005-01-03 13:00:00,5239.24607999999
region2,battery,2005-01-03 14:00:00,5239.24607999999
region2,battery,2005-01-03 15:00:00,4186.61450105262
region2,battery,2005-01-03 16:00:00,3133.98292210525
region2,battery,2005-01-03 17:00:00,2081.35134315788
region2,battery,2005-01-03 18:00:00,1375.68186947367
region2,battery,2005-01-03 19:00:00,1375.68186947367
region2,battery,2005-01-03 20:00:00,1492.48626947367
region2,battery,2005-01-03 21:00:00,1765.02796947367
region2,battery,2005-01-03 22:00:00,2232.24176947367
region2,battery,2005-01-03 23:00:00,2660.52076947367
region2,battery,2005-01-04 00:00:00,3127.73456947368
region2,battery,2005-01-04 01:00:00,3711.75086947368
region2,battery,2005-01-04 02:00:00,4334.70196947368
region2,battery,2005-01-04 03:00:00,4918.71826947368
region2,battery,2005-01-04 04:00:00,5239.24607999999
region2,battery,2005-01-04 05:00:00,5239.24607999999
region2,battery,2005-01-04 06:00:00,5239.24607999999
region2,battery,2005-01-04 07:00:00,5239.24607999999
region2,battery,2005-01-04 08:00:00,5239.24607999999
region2,battery,2005-01-04 09:00:00,5180.99513263157
region2,battery,2005-01-04 10:00:00,5239.24607999999
region2,battery,2005-01-04 11:00:00,5239.24607999999
region2,battery,2005-01-04 12:00:00,5239.24607999999
region2,battery,2005-01-04 13:00:00,5239.24607999999
region2,battery,2005-01-04 14:00:00,4876.12565894736
region2,battery,2005-01-04 15:00:00,3823.49407999999
region2,battery,2005-01-04 16:00:00,2770.86250105262
region2,battery,2005-01-04 17:00:00,1718.23092210525
region2,battery,2005-01-04 18:00:00,665.599343157883
region2,battery,2005-01-04 19:00:00,665.599343157884
region2,battery,2005-01-04 20:00:00,782.403743157884
region2,battery,2005-01-04 21:00:00,1054.94544315789
region2,battery,2005-01-04 22:00:00,1522.15924315789
region2,battery,2005-01-04 23:00:00,1950.43824315789
region2,battery,2005-01-05 00:00:00,2417.65204315789
region2,battery,2005-01-05 01:00:00,3001.66834315789
region2,battery,2005-01-05 02:00:00,3624.61944315789
region2,battery,2005-01-05 03:00:00,4208.63574315789
region2,battery,2005-01-05 04:00:00,4753.71724315789
region2,battery,2005-01-05 05:00:00,5239.24607999999
region2,battery,2005-01-05 06:00:00,5239.24607999999
region2,battery,2005-01-05 07:00:00,5239.24607999999
region2,battery,2005-01-05 08:00:00,5031.33786947367
region2,battery,2005-01-05 09:00:00,4567.90713263158
region2,battery,2005-01-05 10:00:00,4494.94713263158
region2,battery,2005-01-05 11:00:00,4610.13577263158
region2,battery,2005-01-05 12:00:00,4862.34595263158
region2,battery,2005-01-05 13:00:00,4906.86105263158
region2,battery,2005-01-05 14:00:00,4210.52631578947
region2,battery,2005-01-05 15:00:00,3157.8947368421
region2,battery,2005-01-05 16:00:00,2105.26315789474
region2,battery,2005-01-05 17:00:00,1052.63157894737
region2,battery,2005-01-05 18:00:00,0.0
region2,battery,2005-01-05 19:00:00,0.0
region2,battery,2005-01-05 20:00:00,0.0
region2,battery,2005-01-05 21:00:00,0.0
region2,battery,2005-01-05 22:00:00,0.0
region2,battery,2005-01-05 23:00:00,0.0
