costs,locs,techs,timesteps,cost_var
monetary,X1,chp,2005-07-01 00:00:00,0.464306800167265
monetary,X1,chp,2005-07-01 01:00:00,0.392331482889143
monetary,X1,chp,2005-07-01 02:00:00,0.394384031620816
monetary,X1,chp,2005-07-01 03:00:00,0.394386835004816
monetary,X1,chp,2005-07-01 04:00:00,0.416023229927347
monetary,X1,chp,2005-07-01 05:00:00,0.722305582763673
monetary,X1,chp,2005-07-01 06:00:00,0.885110235366694
monetary,X1,chp,2005-07-01 07:00:00,1.04378679243537
monetary,X1,chp,2005-07-01 08:00:00,1.04378679243537
monetary,X1,chp,2005-07-01 09:00:00,1.04378679243537
monetary,X1,chp,2005-07-01 10:00:00,0.878605119966511
monetary,X1,chp,2005-07-01 11:00:00,0.875111108690458
monetary,X1,chp,2005-07-01 12:00:00,0.838775037833534
monetary,X1,chp,2005-07-01 13:00:00,0.740731253165497
monetary,X1,chp,2005-07-01 14:00:00,0.788165359918367
monetary,X1,chp,2005-07-01 15:00:00,0.915373502065055
monetary,X1,chp,2005-07-01 16:00:00,0.784795807517127
monetary,X1,chp,2005-07-01 17:00:00,1.04378679243537
monetary,X1,chp,2005-07-01 18:00:00,1.04378679243537
monetary,X1,chp,2005-07-01 19:00:00,1.04378679243537
monetary,X1,chp,2005-07-01 20:00:00,1.04378679243537
monetary,X1,chp,2005-07-01 21:00:00,0.919550075361551
monetary,X1,chp,2005-07-01 22:00:00,0.631857844544408
monetary,X1,chp,2005-07-01 23:00:00,0.465511005188735
monetary,X1,chp,2005-07-02 00:00:00,0.497109699187674
monetary,X1,chp,2005-07-02 01:00:00,0.428813888521796
monetary,X1,chp,2005-07-02 02:00:00,0.422456136477959
monetary,X1,chp,2005-07-02 03:00:00,0.431920528270122
monetary,X1,chp,2005-07-02 04:00:00,0.449351772743673
monetary,X1,chp,2005-07-02 05:00:00,0.672072075641225
monetary,X1,chp,2005-07-02 06:00:00,0.857297009948326
monetary,X1,chp,2005-07-02 07:00:00,0.995061006844
monetary,X1,chp,2005-07-02 08:00:00,0.956515328666812
monetary,X1,chp,2005-07-02 09:00:00,0.916760557080689
monetary,X1,chp,2005-07-02 10:00:00,0.861332647687167
monetary,X1,chp,2005-07-02 11:00:00,0.702883109856767
monetary,X1,chp,2005-07-02 12:00:00,0.639272358210262
monetary,X1,chp,2005-07-02 13:00:00,0.637054535588604
monetary,X1,chp,2005-07-02 14:00:00,0.736004193869918
monetary,X1,chp,2005-07-02 15:00:00,0.870635034816414
monetary,X1,chp,2005-07-02 16:00:00,0.776365105021579
monetary,X1,chp,2005-07-02 17:00:00,1.04378679243537
monetary,X1,chp,2005-07-02 18:00:00,1.04378679243537
monetary,X1,chp,2005-07-02 19:00:00,1.04378679243537
monetary,X1,chp,2005-07-02 20:00:00,1.04378679243537
monetary,X1,chp,2005-07-02 21:00:00,0.882127416994204
monetary,X1,chp,2005-07-02 22:00:00,0.632089151483184
monetary,X1,chp,2005-07-02 23:00:00,0.502256232821388
monetary,X1,supply_gas,2005-07-01 00:00:00,7.16522839764298
monetary,X1,supply_gas,2005-07-01 01:00:00,6.05449819273368
monetary,X1,supply_gas,2005-07-01 02:00:00,6.08617332748173
monetary,X1,supply_gas,2005-07-01 03:00:00,6.0862165895805
monetary,X1,supply_gas,2005-07-01 04:00:00,6.42011157295289
monetary,X1,supply_gas,2005-07-01 05:00:00,11.146691092032
monetary,X1,supply_gas,2005-07-01 06:00:00,13.6591085704737
monetary,X1,supply_gas,2005-07-01 07:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-01 08:00:00,16.1078208709163
monetary,X1,supply_gas,2005-07-01 09:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-01 10:00:00,13.5587209871375
monetary,X1,supply_gas,2005-07-01 11:00:00,13.5048010600379
monetary,X1,supply_gas,2005-07-01 12:00:00,12.9440592258261
monetary,X1,supply_gas,2005-07-01 13:00:00,11.4310378574922
monetary,X1,supply_gas,2005-07-01 14:00:00,12.1630456777526
monetary,X1,supply_gas,2005-07-01 15:00:00,14.1261342911274
monetary,X1,supply_gas,2005-07-01 16:00:00,12.1110464123013
monetary,X1,supply_gas,2005-07-01 17:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-01 18:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-01 19:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-01 20:00:00,16.1078208709163
monetary,X1,supply_gas,2005-07-01 21:00:00,14.19058758274
monetary,X1,supply_gas,2005-07-01 22:00:00,9.75089266272235
monetary,X1,supply_gas,2005-07-01 23:00:00,7.18381180846813
monetary,X1,supply_gas,2005-07-02 00:00:00,7.67144597511842
monetary,X1,supply_gas,2005-07-02 01:00:00,6.61749827965734
monetary,X1,supply_gas,2005-07-02 02:00:00,6.51938482219073
monetary,X1,supply_gas,2005-07-02 03:00:00,6.66544025108214
monetary,X1,supply_gas,2005-07-02 04:00:00,6.93444093740237
monetary,X1,supply_gas,2005-07-02 05:00:00,10.3714826487843
monetary,X1,supply_gas,2005-07-02 06:00:00,13.2298921288322
monetary,X1,supply_gas,2005-07-02 07:00:00,15.3558797352469
monetary,X1,supply_gas,2005-07-02 08:00:00,14.761039022636
monetary,X1,supply_gas,2005-07-02 09:00:00,14.1475394611217
monetary,X1,supply_gas,2005-07-02 10:00:00,13.2921704889995
monetary,X1,supply_gas,2005-07-02 11:00:00,10.8469615718637
monetary,X1,supply_gas,2005-07-02 12:00:00,9.86531416991144
monetary,X1,supply_gas,2005-07-02 13:00:00,9.83108851216981
monetary,X1,supply_gas,2005-07-02 14:00:00,11.3580894115728
monetary,X1,supply_gas,2005-07-02 15:00:00,13.4357258459323
monetary,X1,supply_gas,2005-07-02 16:00:00,11.9809429787281
monetary,X1,supply_gas,2005-07-02 17:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-02 18:00:00,16.1078208709163
monetary,X1,supply_gas,2005-07-02 19:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-02 20:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-02 21:00:00,13.6130774227501
monetary,X1,supply_gas,2005-07-02 22:00:00,9.75446221424666
monetary,X1,supply_gas,2005-07-02 23:00:00,7.75086779045352
monetary,X1,supply_grid_power,2005-07-01 00:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 01:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 02:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 03:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 04:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 05:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 06:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 07:00:00,0.779178990801497
monetary,X1,supply_grid_power,2005-07-01 08:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 09:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 10:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 11:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 12:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 13:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 14:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 15:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 16:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 17:00:00,0.833611089615375
monetary,X1,supply_grid_power,2005-07-01 18:00:00,0.889412554683558
monetary,X1,supply_grid_power,2005-07-01 19:00:00,2.60978977125649
monetary,X1,supply_grid_power,2005-07-01 20:00:00,1.93087000389118
monetary,X1,supply_grid_power,2005-07-01 21:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 22:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 23:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 00:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 01:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 02:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 03:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 04:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 05:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 06:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 07:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 08:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 09:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 10:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 11:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 12:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 13:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 14:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 15:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 16:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 17:00:00,0.411833519656098
monetary,X1,supply_grid_power,2005-07-02 18:00:00,0.896878916985599
monetary,X1,supply_grid_power,2005-07-02 19:00:00,3.36201473134812
monetary,X1,supply_grid_power,2005-07-02 20:00:00,0.992784095727921
monetary,X1,supply_grid_power,2005-07-02 21:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 22:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 23:00:00,0.0
monetary,X2,boiler,2005-07-01 00:00:00,0.0
monetary,X2,boiler,2005-07-01 01:00:00,0.0192209218426079
monetary,X2,boiler,2005-07-01 02:00:00,0.0452258898917121
monetary,X2,boiler,2005-07-01 03:00:00,0.174444182925414
monetary,X2,boiler,2005-07-01 04:00:00,0.250237477285814
monetary,X2,boiler,2005-07-01 05:00:00,0.244203861828797
monetary,X2,boiler,2005-07-01 06:00:00,0.580947382361171
monetary,X2,boiler,2005-07-01 07:00:00,0.907437510579294
monetary,X2,boiler,2005-07-01 08:00:00,0.391841194311903
monetary,X2,boiler,2005-07-01 09:00:00,0.0670937290901876
monetary,X2,boiler,2005-07-01 10:00:00,0.0
monetary,X2,boiler,2005-07-01 11:00:00,0.0
monetary,X2,boiler,2005-07-01 12:00:00,0.0
monetary,X2,boiler,2005-07-01 13:00:00,0.0
monetary,X2,boiler,2005-07-01 14:00:00,0.0
monetary,X2,boiler,2005-07-01 15:00:00,0.0
monetary,X2,boiler,2005-07-01 16:00:00,0.0
monetary,X2,boiler,2005-07-01 17:00:00,0.0
monetary,X2,boiler,2005-07-01 18:00:00,0.0
monetary,X2,boiler,2005-07-01 19:00:00,0.0
monetary,X2,boiler,2005-07-01 20:00:00,0.0
monetary,X2,boiler,2005-07-01 21:00:00,0.404973337300993
monetary,X2,boiler,2005-07-01 22:00:00,0.221913405489452
monetary,X2,boiler,2005-07-01 23:00:00,0.0904418735605673
monetary,X2,boiler,2005-07-02 00:00:00,0.0
monetary,X2,boiler,2005-07-02 01:00:00,0.0721087079214016
monetary,X2,boiler,2005-07-02 02:00:00,0.0943087097242794
monetary,X2,boiler,2005-07-02 03:00:00,0.162254704058692
monetary,X2,boiler,2005-07-02 04:00:00,0.240667264061692
monetary,X2,boiler,2005-07-02 05:00:00,0.220678048227544
monetary,X2,boiler,2005-07-02 06:00:00,0.501365150754911
monetary,X2,boiler,2005-07-02 07:00:00,0.860816600144816
monetary,X2,boiler,2005-07-02 08:00:00,0.399982168241708
monetary,X2,boiler,2005-07-02 09:00:00,0.153010802857421
monetary,X2,boiler,2005-07-02 10:00:00,0.0
monetary,X2,boiler,2005-07-02 11:00:00,0.0
monetary,X2,boiler,2005-07-02 12:00:00,0.0
monetary,X2,boiler,2005-07-02 13:00:00,0.0
monetary,X2,boiler,2005-07-02 14:00:00,0.0
monetary,X2,boiler,2005-07-02 15:00:00,0.0
monetary,X2,boiler,2005-07-02 16:00:00,0.0
monetary,X2,boiler,2005-07-02 17:00:00,0.0
monetary,X2,boiler,2005-07-02 18:00:00,0.0
monetary,X2,boiler,2005-07-02 19:00:00,0.0
monetary,X2,boiler,2005-07-02 20:00:00,0.0
monetary,X2,boiler,2005-07-02 21:00:00,0.422539068190456
monetary,X2,boiler,2005-07-02 22:00:00,0.166208061866827
monetary,X2,boiler,2005-07-02 23:00:00,0.0041768581816653
monetary,X2,pv,2005-07-01 00:00:00,0.0
monetary,X2,pv,2005-07-01 01:00:00,0.0
monetary,X2,pv,2005-07-01 02:00:00,0.0
monetary,X2,pv,2005-07-01 03:00:00,0.0
monetary,X2,pv,2005-07-01 04:00:00,0.0
monetary,X2,pv,2005-07-01 05:00:00,-0.205404539502891
monetary,X2,pv,2005-07-01 06:00:00,-0.761864092569476
monetary,X2,pv,2005-07-01 07:00:00,-0.424945771577255
monetary,X2,pv,2005-07-01 08:00:00,-0.599730656868595
monetary,X2,pv,2005-07-01 09:00:00,-1.99286404346529
monetary,X2,pv,2005-07-01 10:00:00,-0.826951018452913
monetary,X2,pv,2005-07-01 11:00:00,-0.822581400526391
monetary,X2,pv,2005-07-01 12:00:00,-0.688215511642735
monetary,X2,pv,2005-07-01 13:00:00,-0.544017974777566
monetary,X2,pv,2005-07-01 14:00:00,-0.492674910613059
monetary,X2,pv,2005-07-01 15:00:00,-0.387803980967622
monetary,X2,pv,2005-07-01 16:00:00,-0.29494950826696
monetary,X2,pv,2005-07-01 17:00:00,-0.201002623437829
monetary,X2,pv,2005-07-01 18:00:00,-0.0742835812192651
monetary,X2,pv,2005-07-01 19:00:00,0.0
monetary,X2,pv,2005-07-01 20:00:00,0.0
monetary,X2,pv,2005-07-01 21:00:00,0.0
monetary,X2,pv,2005-07-01 22:00:00,0.0
monetary,X2,pv,2005-07-01 23:00:00,0.0
monetary,X2,pv,2005-07-02 00:00:00,0.0
monetary,X2,pv,2005-07-02 01:00:00,0.0
monetary,X2,pv,2005-07-02 02:00:00,0.0
monetary,X2,pv,2005-07-02 03:00:00,0.0
monetary,X2,pv,2005-07-02 04:00:00,0.0
monetary,X2,pv,2005-07-02 05:00:00,-0.212873787879754
monetary,X2,pv,2005-07-02 06:00:00,-0.750660220004182
monetary,X2,pv,2005-07-02 07:00:00,-1.26977350504406
monetary,X2,pv,2005-07-02 08:00:00,-1.78141751556467
monetary,X2,pv,2005-07-02 09:00:00,-2.35655021571581
monetary,X2,pv,2005-07-02 10:00:00,-2.60894153786878
monetary,X2,pv,2005-07-02 11:00:00,-0.850983939989301
monetary,X2,pv,2005-07-02 12:00:00,-1.09257976027254
monetary,X2,pv,2005-07-02 13:00:00,-0.624855990533453
monetary,X2,pv,2005-07-02 14:00:00,-0.442424258577021
monetary,X2,pv,2005-07-02 15:00:00,-0.314612804229988
monetary,X2,pv,2005-07-02 16:00:00,-0.206464653492821
monetary,X2,pv,2005-07-02 17:00:00,-0.112517776310528
monetary,X2,pv,2005-07-02 18:00:00,-0.0469734385911462
monetary,X2,pv,2005-07-02 19:00:00,-0.0065544345366221
monetary,X2,pv,2005-07-02 20:00:00,0.0
monetary,X2,pv,2005-07-02 21:00:00,0.0
monetary,X2,pv,2005-07-02 22:00:00,0.0
monetary,X2,pv,2005-07-02 23:00:00,0.0
monetary,X2,supply_gas,2005-07-01 00:00:00,0.0
monetary,X2,supply_gas,2005-07-01 01:00:00,0.120130761516299
monetary,X2,supply_gas,2005-07-01 02:00:00,0.2826618118232
monetary,X2,supply_gas,2005-07-01 03:00:00,1.09027614328384
monetary,X2,supply_gas,2005-07-01 04:00:00,1.56398423303634
monetary,X2,supply_gas,2005-07-01 05:00:00,1.52627413642998
monetary,X2,supply_gas,2005-07-01 06:00:00,3.63092113975732
monetary,X2,supply_gas,2005-07-01 07:00:00,5.67148444112059
monetary,X2,supply_gas,2005-07-01 08:00:00,2.44900746444939
monetary,X2,supply_gas,2005-07-01 09:00:00,0.419335806813673
monetary,X2,supply_gas,2005-07-01 10:00:00,0.0
monetary,X2,supply_gas,2005-07-01 11:00:00,0.0
monetary,X2,supply_gas,2005-07-01 12:00:00,0.0
monetary,X2,supply_gas,2005-07-01 13:00:00,0.0
monetary,X2,supply_gas,2005-07-01 14:00:00,0.0
monetary,X2,supply_gas,2005-07-01 15:00:00,0.0
monetary,X2,supply_gas,2005-07-01 16:00:00,0.0
monetary,X2,supply_gas,2005-07-01 17:00:00,0.0
monetary,X2,supply_gas,2005-07-01 18:00:00,0.0
monetary,X2,supply_gas,2005-07-01 19:00:00,0.0
monetary,X2,supply_gas,2005-07-01 20:00:00,0.0
monetary,X2,supply_gas,2005-07-01 21:00:00,2.53108335813121
monetary,X2,supply_gas,2005-07-01 22:00:00,1.38695878430908
monetary,X2,supply_gas,2005-07-01 23:00:00,0.565261709753545
monetary,X2,supply_gas,2005-07-02 00:00:00,0.0
monetary,X2,supply_gas,2005-07-02 01:00:00,0.45067942450876
monetary,X2,supply_gas,2005-07-02 02:00:00,0.589429435776746
monetary,X2,supply_gas,2005-07-02 03:00:00,1.01409190036683
monetary,X2,supply_gas,2005-07-02 04:00:00,1.50417040038558
monetary,X2,supply_gas,2005-07-02 05:00:00,1.37923780142215
monetary,X2,supply_gas,2005-07-02 06:00:00,3.13353219221819
monetary,X2,supply_gas,2005-07-02 07:00:00,5.3801037509051
monetary,X2,supply_gas,2005-07-02 08:00:00,2.49988855151067
monetary,X2,supply_gas,2005-07-02 09:00:00,0.95631751785888
monetary,X2,supply_gas,2005-07-02 10:00:00,0.0
monetary,X2,supply_gas,2005-07-02 11:00:00,0.0
monetary,X2,supply_gas,2005-07-02 12:00:00,0.0
monetary,X2,supply_gas,2005-07-02 13:00:00,0.0
monetary,X2,supply_gas,2005-07-02 14:00:00,0.0
monetary,X2,supply_gas,2005-07-02 15:00:00,0.0
monetary,X2,supply_gas,2005-07-02 16:00:00,0.0
monetary,X2,supply_gas,2005-07-02 17:00:00,0.0
monetary,X2,supply_gas,2005-07-02 18:00:00,0.0
monetary,X2,supply_gas,2005-07-02 19:00:00,0.0
monetary,X2,supply_gas,2005-07-02 20:00:00,0.0
monetary,X2,supply_gas,2005-07-02 21:00:00,2.64086917619035
monetary,X2,supply_gas,2005-07-02 22:00:00,1.03880038666767
monetary,X2,supply_gas,2005-07-02 23:00:00,0.0261053636354081
monetary,X3,boiler,2005-07-01 00:00:00,0.0
monetary,X3,boiler,2005-07-01 01:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 02:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 03:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 04:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 05:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 06:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 07:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 08:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 09:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 10:00:00,0.0
monetary,X3,boiler,2005-07-01 11:00:00,0.0
monetary,X3,boiler,2005-07-01 12:00:00,0.0
monetary,X3,boiler,2005-07-01 13:00:00,0.0
monetary,X3,boiler,2005-07-01 14:00:00,0.0
monetary,X3,boiler,2005-07-01 15:00:00,0.0
monetary,X3,boiler,2005-07-01 16:00:00,0.0
monetary,X3,boiler,2005-07-01 17:00:00,0.0
monetary,X3,boiler,2005-07-01 18:00:00,0.0
monetary,X3,boiler,2005-07-01 19:00:00,0.0
monetary,X3,boiler,2005-07-01 20:00:00,0.0
monetary,X3,boiler,2005-07-01 21:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 22:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-01 23:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 00:00:00,0.0
monetary,X3,boiler,2005-07-02 01:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 02:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 03:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 04:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 05:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 06:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 07:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 08:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 09:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 10:00:00,0.0
monetary,X3,boiler,2005-07-02 11:00:00,0.0
monetary,X3,boiler,2005-07-02 12:00:00,0.0
monetary,X3,boiler,2005-07-02 13:00:00,0.0
monetary,X3,boiler,2005-07-02 14:00:00,0.0
monetary,X3,boiler,2005-07-02 15:00:00,0.0
monetary,X3,boiler,2005-07-02 16:00:00,0.0
monetary,X3,boiler,2005-07-02 17:00:00,0.0
monetary,X3,boiler,2005-07-02 18:00:00,0.0
monetary,X3,boiler,2005-07-02 19:00:00,0.0
monetary,X3,boiler,2005-07-02 20:00:00,0.0
monetary,X3,boiler,2005-07-02 21:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 22:00:00,7.34117647058824e-05
monetary,X3,boiler,2005-07-02 23:00:00,7.34117647058824e-05
monetary,X3,pv,2005-07-01 00:00:00,0.0
monetary,X3,pv,2005-07-01 01:00:00,0.0
monetary,X3,pv,2005-07-01 02:00:00,0.0
monetary,X3,pv,2005-07-01 03:00:00,0.0
monetary,X3,pv,2005-07-01 04:00:00,0.0
monetary,X3,pv,2005-07-01 05:00:00,0.0
monetary,X3,pv,2005-07-01 06:00:00,0.0
monetary,X3,pv,2005-07-01 07:00:00,0.0
monetary,X3,pv,2005-07-01 08:00:00,0.0
monetary,X3,pv,2005-07-01 09:00:00,0.0
monetary,X3,pv,2005-07-01 10:00:00,0.0
monetary,X3,pv,2005-07-01 11:00:00,0.0
monetary,X3,pv,2005-07-01 12:00:00,0.0
monetary,X3,pv,2005-07-01 13:00:00,0.0
monetary,X3,pv,2005-07-01 14:00:00,0.0
monetary,X3,pv,2005-07-01 15:00:00,0.0
monetary,X3,pv,2005-07-01 16:00:00,0.0
monetary,X3,pv,2005-07-01 17:00:00,0.0
monetary,X3,pv,2005-07-01 18:00:00,0.0
monetary,X3,pv,2005-07-01 19:00:00,0.0
monetary,X3,pv,2005-07-01 20:00:00,0.0
monetary,X3,pv,2005-07-01 21:00:00,0.0
monetary,X3,pv,2005-07-01 22:00:00,0.0
monetary,X3,pv,2005-07-01 23:00:00,0.0
monetary,X3,pv,2005-07-02 00:00:00,0.0
monetary,X3,pv,2005-07-02 01:00:00,0.0
monetary,X3,pv,2005-07-02 02:00:00,0.0
monetary,X3,pv,2005-07-02 03:00:00,0.0
monetary,X3,pv,2005-07-02 04:00:00,0.0
monetary,X3,pv,2005-07-02 05:00:00,0.0
monetary,X3,pv,2005-07-02 06:00:00,0.0
monetary,X3,pv,2005-07-02 07:00:00,0.0
monetary,X3,pv,2005-07-02 08:00:00,0.0
monetary,X3,pv,2005-07-02 09:00:00,0.0
monetary,X3,pv,2005-07-02 10:00:00,0.0
monetary,X3,pv,2005-07-02 11:00:00,0.0
monetary,X3,pv,2005-07-02 12:00:00,0.0
monetary,X3,pv,2005-07-02 13:00:00,0.0
monetary,X3,pv,2005-07-02 14:00:00,0.0
monetary,X3,pv,2005-07-02 15:00:00,0.0
monetary,X3,pv,2005-07-02 16:00:00,0.0
monetary,X3,pv,2005-07-02 17:00:00,0.0
monetary,X3,pv,2005-07-02 18:00:00,0.0
monetary,X3,pv,2005-07-02 19:00:00,0.0
monetary,X3,pv,2005-07-02 20:00:00,0.0
monetary,X3,pv,2005-07-02 21:00:00,0.0
monetary,X3,pv,2005-07-02 22:00:00,0.0
monetary,X3,pv,2005-07-02 23:00:00,0.0
monetary,X3,supply_gas,2005-07-01 00:00:00,0.0
monetary,X3,supply_gas,2005-07-01 01:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 02:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 03:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 04:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 05:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 06:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 07:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 08:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 09:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 10:00:00,0.0
monetary,X3,supply_gas,2005-07-01 11:00:00,0.0
monetary,X3,supply_gas,2005-07-01 12:00:00,0.0
monetary,X3,supply_gas,2005-07-01 13:00:00,0.0
monetary,X3,supply_gas,2005-07-01 14:00:00,0.0
monetary,X3,supply_gas,2005-07-01 15:00:00,0.0
monetary,X3,supply_gas,2005-07-01 16:00:00,0.0
monetary,X3,supply_gas,2005-07-01 17:00:00,0.0
monetary,X3,supply_gas,2005-07-01 18:00:00,0.0
monetary,X3,supply_gas,2005-07-01 19:00:00,0.0
monetary,X3,supply_gas,2005-07-01 20:00:00,0.0
monetary,X3,supply_gas,2005-07-01 21:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 22:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-01 23:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 00:00:00,0.0
monetary,X3,supply_gas,2005-07-02 01:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 02:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 03:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 04:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 05:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 06:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 07:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 08:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 09:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 10:00:00,0.0
monetary,X3,supply_gas,2005-07-02 11:00:00,0.0
monetary,X3,supply_gas,2005-07-02 12:00:00,0.0
monetary,X3,supply_gas,2005-07-02 13:00:00,0.0
monetary,X3,supply_gas,2005-07-02 14:00:00,0.0
monetary,X3,supply_gas,2005-07-02 15:00:00,0.0
monetary,X3,supply_gas,2005-07-02 16:00:00,0.0
monetary,X3,supply_gas,2005-07-02 17:00:00,0.0
monetary,X3,supply_gas,2005-07-02 18:00:00,0.0
monetary,X3,supply_gas,2005-07-02 19:00:00,0.0
monetary,X3,supply_gas,2005-07-02 20:00:00,0.0
monetary,X3,supply_gas,2005-07-02 21:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 22:00:00,0.000458823529411765
monetary,X3,supply_gas,2005-07-02 23:00:00,0.000458823529411765
